[13.6511145, 100.49296083333333]
[13.651113, 100.492961]
[13.651111666666667, 100.492961]
[13.651110333333333, 100.49296083333333]
[13.651109, 100.49296083333333]
[13.651107666666666, 100.49296083333333]
[13.651106333333333, 100.49296083333333]
[13.651105, 100.49296083333333]
[13.651103666666666, 100.49296083333333]
[13.651102333333334, 100.49296083333333]
[13.651100833333333, 100.49296083333333]
[13.6510995, 100.49296083333333]
[13.651098333333334, 100.49296083333333]
[13.651096833333334, 100.49296066666666]
[13.6510955, 100.49296066666666]
[13.651094166666667, 100.49296066666666]
[13.651093, 100.49296066666666]
[13.651091666666666, 100.4929605]
[13.651090166666666, 100.4929605]
[13.651088833333333, 100.4929605]
[13.6510875, 100.4929605]
[13.651086166666667, 100.4929605]
[13.651084666666666, 100.49296033333333]
[13.651083333333334, 100.49296033333333]
[13.651082, 100.49296033333333]
[13.651080666666667, 100.4929605]
[13.651079166666667, 100.4929605]
[13.651077833333334, 100.4929605]
[13.6510765, 100.4929605]
[13.651075166666667, 100.4929605]
[13.651073833333333, 100.4929605]
[13.651072333333333, 100.49296033333333]
[13.651071, 100.49296033333333]
[13.651069666666666, 100.49296033333333]
[13.651068166666667, 100.49296033333333]
[13.651066833333333, 100.49296033333333]
[13.651065333333333, 100.49296033333333]
[13.651064, 100.49296033333333]
[13.651062666666666, 100.49296033333333]
[13.651061333333333, 100.49296033333333]
[13.65106, 100.49296033333333]
[13.651058666666666, 100.49296033333333]
[13.651057333333334, 100.49296033333333]
[13.651056, 100.49296033333333]
[13.651054666666667, 100.49296033333333]
[13.651053333333333, 100.49296033333333]
[13.651052, 100.4929605]
[13.6510505, 100.4929605]
[13.651049166666667, 100.4929605]
[13.651047833333333, 100.49296033333333]
[13.6510465, 100.4929605]
[13.651045166666666, 100.49296033333333]
[13.651043833333333, 100.49296033333333]
[13.6510425, 100.49296033333333]
[13.651041166666667, 100.49296033333333]
[13.65104, 100.49296033333333]
[13.651038666666667, 100.49296033333333]
[13.651037166666667, 100.49296033333333]
[13.651036, 100.49296016666666]
[13.651034666666666, 100.49296033333333]
[13.651033333333332, 100.49296033333333]
[13.651032, 100.49296016666666]
[13.651030666666667, 100.49296016666666]
[13.6510295, 100.49296016666666]
[13.651028166666666, 100.49296033333333]
[13.651026833333333, 100.49296016666666]
[13.6510255, 100.49296016666666]
[13.651024166666666, 100.49296016666666]
[13.651022833333334, 100.49296016666666]
[13.6510215, 100.49296016666666]
[13.651020166666667, 100.49296016666666]
[13.651018833333334, 100.49296016666666]
[13.6510175, 100.49296016666666]
[13.651016166666667, 100.49296016666666]
[13.651014833333333, 100.49296033333333]
[13.6510135, 100.49296016666666]
[13.651012166666666, 100.49296016666666]
[13.651010833333334, 100.49296016666666]
[13.651009333333333, 100.49296016666666]
[13.651008, 100.49296033333333]
[13.651006666666667, 100.49296033333333]
[13.651005166666666, 100.49296033333333]
[13.651003833333334, 100.4929605]
[13.6510025, 100.49296033333333]
[13.651001333333333, 100.4929605]
[13.650999666666667, 100.49296016666666]
[13.650998333333334, 100.49296033333333]
[13.650997, 100.49296016666666]
[13.6509955, 100.49296016666666]
[13.650994166666667, 100.49296016666666]
[13.650992833333333, 100.49296016666666]
